,id,object_name,address,chain,object_type,number,street
2959,14745,NEW BEVERLY CINEMA,7165 BEVERLY BLVD,True,Restaurant,7,BEVERLY BLVD
2960,14746,ROC,12775 MILLENNIUM DR # 110,True,Restaurant,133,MILLENNIUM DR
2961,14747,OKI DOG 3,860 N FAIRFAX AVE,False,Restaurant,12,N FAIRFAX AVE
2962,14748,TORTAS AHOGADES ELGUERO,4508 E WHITTIER BLVD,False,Restaurant,21,E WHITTIER BLVD
2963,14749,HAPPY TACO,1309 S HOOVER ST,False,Fast Food,28,S HOOVER ST
2964,14750,NEW EAST INDIA GRILL,345 N LA BREA AVE STE 205,False,Restaurant,46,N LA BREA AVE 
2965,14751,GOLF CLUBHOUSE GRIFFITH PARK,4730 CRYSTAL SPRINGS DR,False,Restaurant,145,CRYSTAL SPRINGS DR
2966,14752,JUAN RESTAURANT,307 E JEFFERSON BLVD # 327,True,Restaurant,16,E JEFFERSON BLVD
2967,14753,NO 1 TERIYAKI,3510 S BROADWAY,False,Restaurant,24,S BROADWAY
2968,14754,CHESSCOS COCINA MEXICANA,752 S VERMONT AVE,False,Restaurant,21,S VERMONT AVE
2969,14755,SHOUBU,3429 W 6TH ST,False,Restaurant,139,W 6TH ST
2970,14756,HOWARD'S CAFE,1051 S ALVARADO ST,False,Restaurant,42,S ALVARADO ST
2971,14757,INDIA SWEETS & SPICES,3126 LOS FELIZ BLVD,True,Restaurant,73,LOS FELIZ BLVD
2972,14758,CHAPINLANDIA BAKERY #2,1455 W 3RD ST,True,Bakery,20,W 3RD ST
2973,14759,EATERIA & COFFEE LLC,119 E 5TH ST,False,Cafe,26,E 5TH ST
2974,14760,CATCH 56,5615 HOLLYWOOD BLVD,False,Restaurant,9,HOLLYWOOD BLVD
2975,14761,PLAYAS LAS TUNAS,1107 S ALVARADO ST STE 112,False,Restaurant,147,S ALVARADO ST 
2976,14762,DENNY'S #8019,4760 E CESAR E CHAVEZ AVE,False,Restaurant,135,E CESAR E CHAVEZ AVE
2977,14763,SUN HAI INN CHINESE,3176 LOS FELIZ BLVD,False,Restaurant,38,LOS FELIZ BLVD
